NIFTY TOTAL MARKET,NIFTY 50,NIFTY BANK,NIFTY NEXT 50,NIFTY AUTO,NIFTY FMCG,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PSU BANK,NIFTY PRIVATE BANK,NIFTY REALTY,NIFTY HEALTHCARE INDEX,NIFTY CONSUMER DURABLES,NIFTY OIL & GAS,NIFTY COMMODITIES,NIFTY INDIA CONSUMPTION,NIFTY ENERGY,NIFTY INFRASTRUCTURE,NIFTY INDIA DEFENCE,NIFTY INDIA TOURISM,NIFTY CAPITAL MARKETS,NIFTY EV & NEW AGE AUTOMOTIVE,NIFTY MOBILITY,NIFTY RURAL
BSE,SHRIRAMFIN,,JINDALSTEL,EXIDEIND,EMAMILTD,,,LLOYDSME,ALKEM,,,,GLENMARK,VGUARD,AEGISLOG,TORNTPOWER,VBL,HINDPETRO,NTPC,BEML,VENTIVE,UTIAMC,MOTHERSON,EICHERMOT,TVSMOTOR
INDIGO,TCS,,IRFC,,,,,,JBCHEPHARM,,,,ABBOTINDIA,,,NMDC,MAXHEALTH,CGPOWER,CUMMINSIND,MIDHANI,SAPPHIRE,,HYUNDAI,BHARATFORG,EICHERMOT
ETERNAL,SUNPHARMA,,LODHA,,,,,,PPLPHARMA,,,,ALKEM,,,ADANIPOWER,BAJAJ-AUTO,TORNTPOWER,MAXHEALTH,CYIENTDLM,,,BOSCHLTD,BAJAJ-AUTO,NTPC
VEDL,BAJFINANCE,,PNB,,,,,,AJANTPHARM,,,,SYNGENE,,,UPL,TRENT,ADANIPOWER,GODREJPROP,UNIMECH,,,UNOMINDA,HINDPETRO,CUMMINSIND
OIL,POWERGRID,,CGPOWER,,,,,,GLAND,,,,PPLPHARMA,,,TATAPOWER,HEROMOTOCO,TATAPOWER,BHARATFORG,,,,TIINDIA,HEROMOTOCO,HDFCLIFE
MARUTI,COALINDIA,,CHOLAFIN,,,,,,IPCALAB,,,,IPCALAB,,,JSWSTEEL,ADANIPOWER,RPOWER,SUZLON,,,,KPITTECH,MOTHERSON,ASIANPAINT
HAL,AXISBANK,,DIVISLAB,,,,,,,,,,,,,ADANIGREEN,DMART,ADANIGREEN,HINDPETRO,,,,TATAELXSI,HYUNDAI,BAJAJ-AUTO
HINDCOPPER,ITC,,ADANIPOWER,,,,,,,,,,,,,ADANIENSOL,TATAPOWER,ADANIENSOL,CGPOWER,,,,ATHERENERG,BOSCHLTD,PNB
NATIONALUM,KOTAKBANK,,DMART,,,,,,,,,,,,,PIDILITIND,INDHOTEL,ABB,GRASIM,,,,HSCL,IRCTC,INDIANB
DIXON,HINDALCO,,MAZDOCK,,,,,,,,,,,,,NHPC,GODREJCP,ENRIN,INDUSTOWER,,,,SONACOMS,TIINDIA,MUTHOOTFIN
SOLARINDS,TMPV,,TATAPOWER,,,,,,,,,,,,,APLAPOLLO,NAUKRI,NHPC,TATAPOWER,,,,SCHAEFFLER,MRF,HEROMOTOCO
SHRIRAMFIN,HINDUNILVR,,INDHOTEL,,,,,,,,,,,,,AMBUJACEM,BRITANNIA,SIEMENS,INDHOTEL,,,,TATATECH,GMRAIRPORT,GRASIM
TCS,ADANIPORTS,,GODREJCP,,,,,,,,,,,,,SRF,NESTLEIND,MGL,MOTHERSON,,,,OLECTRA,CONCOR,TORNTPOWER
SUNPHARMA,APOLLOHOSP,,MOTHERSON,,,,,,,,,,,,,SHREECEM,TATACONSUM,GUJGASLTD,ADANIGREEN,,,,EXIDEIND,SONACOMS,CHOLAFIN
BAJFINANCE,ULTRACEMCO,,HYUNDAI,,,,,,,,,,,,,JSWENERGY,HAVELLS,INOXWIND,AMBUJACEM,,,,TATACHEM,BALKRISIND,ADANIPOWER
DLF,EICHERMOT,,TORNTPHARM,,,,,,,,,,,,,PIIND,UNITDSPR,IGL,SHREECEM,,,,ARE&M,ATGL,BANKINDIA
POWERGRID,HCLTECH,,NAUKRI,,,,,,,,,,,,,,,JSWENERGY,,,,,JWL,,UPL
COALINDIA,TITAN,,BRITANNIA,,,,,,,,,,,,,,,JPPOWER,,,,,LTTS,,TATAPOWER
SAGILITY,NTPC,,ADANIGREEN,,,,,,,,,,,,,,,NLCINDIA,,,,,FLUOROCHEM,,GODREJCP
AXISBANK,BAJAJFINSV,,BOSCHLTD,,,,,,,,,,,,,,,CASTROLIND,,,,,MSUMI,,HYUNDAI
CHENNPETRO,HDFCLIFE,,ADANIENSOL,,,,,,,,,,,,,,,GSPL,,,,,JBMA,,SBILIFE
ITC,WIPRO,,ABB,,,,,,,,,,,,,,,SJVN,,,,,,,BRITANNIA
KOTAKBANK,ASIANPAINT,,PIDILITIND,,,,,,,,,,,,,,,ATGL,,,,,,,ADANIGREEN
MCX,MAXHEALTH,,ENRIN,,,,,,,,,,,,,,,CESC,,,,,,,IRCTC
HINDALCO,JIOFIN,,SIEMENS,,,,,,,,,,,,,,,THERMAX,,,,,,,BANDHANBNK
TMPV,ADANIENT,,ICICIGI,,,,,,,,,,,,,,,AEGISLOG,,,,,,,SUPREMEIND
HINDUNILVR,BAJAJ-AUTO,,HAVELLS,,,,,,,,,,,,,,,,,,,,,,NESTLEIND
PETRONET,TRENT,,ZYDUSLIFE,,,,,,,,,,,,,,,,,,,,,,NHPC
ASHOKLEY,CIPLA,,UNITDSPR,,,,,,,,,,,,,,,,,,,,,,TATACONSUM
SAIL,GRASIM,,AMBUJACEM,,,,,,,,,,,,,,,,,,,,,,HAVELLS
SWIGGY,TECHM,,LICI,,,,,,,,,,,,,,,,,,,,,,MFSL
CANBK,DRREDDY,,SHREECEM,,,,,,,,,,,,,,,,,,,,,,POONAWALLA
BANKBARODA,JSWSTEEL,,LTM,,,,,,,,,,,,,,,,,,,,,,PATANJALI
BPCL,SBILIFE,,JSWENERGY,,,,,,,,,,,,,,,,,,,,,,AMBUJACEM
ADANIPORTS,NESTLEIND,,BAJAJHLDNG,,,,,,,,,,,,,,,,,,,,,,LICI
IDEA,TATACONSUM,,BAJAJHFL,,,,,,,,,,,,,,,,,,,,,,COROMANDEL
IOC,,,,,,,,,,,,,,,,,,,,,,,,,VOLTAS
APOLLOHOSP,,,,,,,,,,,,,,,,,,,,,,,,,SHREECEM
ULTRACEMCO,,,,,,,,,,,,,,,,,,,,,,,,,SUNDARMFIN
ZENTEC,,,,,,,,,,,,,,,,,,,,,,,,,LICHSGFIN
GAIL,,,,,,,,,,,,,,,,,,,,,,,,,MARICO
UNIONBANK,,,,,,,,,,,,,,,,,,,,,,,,,DABUR
TVSMOTOR,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTARCO
EICHERMOT,,,,,,,,,,,,,,,,,,,,,,,,,SBICARD
KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,ASTRAL
HINDZINC,,,,,,,,,,,,,,,,,,,,,,,,,JSWENERGY
HCLTECH,,,,,,,,,,,,,,,,,,,,,,,,,PIIND
OLAELEC,,,,,,,,,,,,,,,,,,,,,,,,,CROMPTON
PAYTM,,,,,,,,,,,,,,,,,,,,,,,,,M&MFIN
TITAN,,,,,,,,,,,,,,,,,,,,,,,,,PNBHOUSING
PFC,,,,,,,,,,,,,,,,,,,,,,,,,COLPAL
NTPC,,,,,,,,,,,,,,,,,,,,,,,,,ICICIPRULI
CUMMINSIND,,,,,,,,,,,,,,,,,,,,,,,,,ZEEL
BAJAJFINSV,,,,,,,,,,,,,,,,,,,,,,,,,ACC
HDFCLIFE,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT
POLYCAB,,,,,,,,,,,,,,,,,,,,,,,,,TATACOMM
BHEL,,,,,,,,,,,,,,,,,,,,,,,,,JKCEMENT
POWERINDIA,,,,,,,,,,,,,,,,,,,,,,,,,ESCORTS
WIPRO,,,,,,,,,,,,,,,,,,,,,,,,,BERGEPAINT
RECLTD,,,,,,,,,,,,,,,,,,,,,,,,,EMAMILTD
ASIANPAINT,,,,,,,,,,,,,,,,,,,,,,,,,ELGIEQUIP
VBL,,,,,,,,,,,,,,,,,,,,,,,,,
COFORGE,,,,,,,,,,,,,,,,,,,,,,,,,
MAXHEALTH,,,,,,,,,,,,,,,,,,,,,,,,,
FORCEMOT,,,,,,,,,,,,,,,,,,,,,,,,,
PRAJIND,,,,,,,,,,,,,,,,,,,,,,,,,
JINDALSTEL,,,,,,,,,,,,,,,,,,,,,,,,,
GVT&D,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJPROP,,,,,,,,,,,,,,,,,,,,,,,,,
JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,
BALRAMCHIN,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,,,,,,,,,,,,,,,,,,,,,,,,,
VMM,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,,,,,,,,,,,,,,,,,,,,,,,,,
IRFC,,,,,,,,,,,,,,,,,,,,,,,,,
LODHA,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,,,,,,,,,,,,,,,,,,,,,,,,,
CDSL,,,,,,,,,,,,,,,,,,,,,,,,,
DATAPATTNS,,,,,,,,,,,,,,,,,,,,,,,,,
LUPIN,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,,,,,,,,,,,,,,,,,,,,,,,,,
TRENT,,,,,,,,,,,,,,,,,,,,,,,,,
NATCOPHARM,,,,,,,,,,,,,,,,,,,,,,,,,
SUZLON,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,,,,,,,,,,,,,,,,,,,,,,,,,
WAAREEENER,,,,,,,,,,,,,,,,,,,,,,,,,
KEI,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANB,,,,,,,,,,,,,,,,,,,,,,,,,
RVNL,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDRMFAST,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,,,,,,,,,,,,,,,,,,,,,,,,,
CGPOWER,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,
MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,
MUTHOOTFIN,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,,,,,,,,,,,,,,,,,,,,,,,,,
HEROMOTOCO,,,,,,,,,,,,,,,,,,,,,,,,,
GRASIM,,,,,,,,,,,,,,,,,,,,,,,,,
TORNTPOWER,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,,,,,,,,,,,,,,,,,,,,,,,,,
MRPL,,,,,,,,,,,,,,,,,,,,,,,,,
TECHM,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,,,,,,,,,,,,,,,,,,,,,,,,,
MAHABANK,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTOWER,,,,,,,,,,,,,,,,,,,,,,,,,
ITCHOTELS,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,,,,,,,,,,,,,,,,,,,,,,,,,
DMART,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,,,,,,,,,,,,,,,,,,,,,,,,,
IDBI,,,,,,,,,,,,,,,,,,,,,,,,,
YESBANK,,,,,,,,,,,,,,,,,,,,,,,,,
UPL,,,,,,,,,,,,,,,,,,,,,,,,,
POLYMED,,,,,,,,,,,,,,,,,,,,,,,,,
MAZDOCK,,,,,,,,,,,,,,,,,,,,,,,,,
RBLBANK,,,,,,,,,,,,,,,,,,,,,,,,,
POLICYBZR,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,,,,,,,,,,,,,,,,,,,,,,,,,
JSWSTEEL,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS,,,,,,,,,,,,,,,,,,,,,,,,,
HYUNDAI,,,,,,,,,,,,,,,,,,,,,,,,,
