UNDERLYING,SYMBOL,Lot Size
Patanjali Foods Limited,PATANJALI,6400
Persistent Systems Limited,PERSISTENT,6400
Petronet LNG Limited,PETRONET,2350
Pidilite Industries Limited,PIDILITIND,6400
Piramal Pharma Limited,PPLPHARMA,6400
Polycab India Limited,POLYCAB,6400
Power Finance Corporation Limited,PFC,2350
Power Grid Corporation of India Limited,POWERGRID,6400
Premier Energies Limited,PREMIERENE,1175
Prestige Estates Projects Limited,PRESTIGE,2350
Punjab National Bank,PNB,6400
RBL Bank Limited,RBLBANK,350
REC Limited,RECLTD,2350
Rail Vikas Nigam Limited,RVNL,1175
Reliance Industries Limited,RELIANCE,500
SBI Cards and Payment Services Limited,SBICARD,2350
SBI Life Insurance Company Limited,SBILIFE,1175
SHREE CEMENT LIMITED,SHREECEM,500
SRF Limited,SRF,500
Sammaan Capital Limited,SAMMAANCAP,1175
Samvardhana Motherson International Limited,MOTHERSON,500
Shriram Finance Limited,SHRIRAMFIN,1175
Siemens Limited,SIEMENS,75
Solar Industries India Limited,SOLARINDS,71475
Sona BLW Precision Forgings Limited,SONACOMS,1525
State Bank of India,SBIN,1525
Steel Authority of India Limited,SAIL,2350
Sun Pharmaceutical Industries Limited,SUNPHARMA,1525
Supreme Industries Limited,SUPREMEIND,71475
Suzlon Energy Limited,SUZLON,2350
Swiggy Limited,SWIGGY,71475
Syngene International Limited,SYNGENE,71475
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,71475
TVS Motor Company Limited,TVSMOTOR,2350
Tata Consultancy Services Limited,TCS,600
Tata Elxsi Limited,TATAELXSI,500
Tata Motors Passenger Vehicles Limited,TMPV,2350
Tata Power Company Limited,TATAPOWER,71475
Tata Steel Limited,TATASTEEL,71475
Tata Technologies Limited,TATATECH,2350
Tech Mahindra Limited,TECHM,71475
The Federal Bank Limited,FEDERALBNK,71475
The Indian Hotels Company Limited,INDHOTEL,2350
The Phoenix Mills Limited,PHOENIXLTD,600
Titan Company Limited,TITAN,2350
Torrent Pharmaceuticals Limited,TORNTPHARM,600
Torrent Power Limited,TORNTPOWER,2350
Trent Limited,TRENT,600
Tube Investments of India Limited,TIINDIA,6400
UNO Minda Limited,UNOMINDA,2350
UPL Limited,UPL,600
UltraTech Cement Limited,ULTRACEMCO,600
Union Bank of India,UNIONBANK,2350
United Spirits Limited,UNITDSPR,600
Varun Beverages Limited,VBL,600
Vedanta Limited,VEDL,2350
Vodafone Idea Limited,IDEA,600
Voltas Limited,VOLTAS,2350
Waaree Energies Limited,WAAREEENER,600
Wipro Limited,WIPRO,2350
Yes Bank Limited,YESBANK,2350
Zydus Lifesciences Limited,ZYDUSLIFE,2350
